video_id,start,end,bbox,fps,width,height,partition
VM6HZqQKhok#016609#016737,0,0,104-10-665-570,10.0,944,944,train
4E_1AB1rsSw#014854#015029,0,0,288-75-746-532,10.0,960,960,train
B43f89Y9f-A#013336#013572,0,0,216-39-622-445,10.0,800,800,train
4zLmWpMDY8Q#012019#012190,0,0,190-43-542-394,10.0,720,720,train
rS_Ssisz2_M#007168#007339,0,0,157-42-477-361,10.0,608,608,train
Fxt_MZKMdes#001276#001514,0,0,150-50-538-438,10.0,720,720,train
8Dv2Hdf5TRg#010948#011114,0,0,132-24-449-342,10.0,624,624,train
8DDgHq9ewOo#019725#019916,0,0,185-43-574-433,10.0,784,784,train
pyFcr2WcOyo#013029#013417,0,0,204-71-574-441,10.0,832,832,train
UQzvNIIMayo#024043#024186,0,0,265-55-831-622,10.0,1056,1056,train
esD6aaIjhek#008846#009046,0,0,96-15-408-327,10.0,592,592,train
N39x_WTPix0#013432#013562,0,0,198-13-583-398,10.0,720,720,train
27lMmdmy-b8#019823#020124,0,0,137-33-499-394,10.0,688,688,train
LnJwH_PZXnM#024134#024328,0,0,298-0-859-560,10.0,976,976,train
77HUdJ7Tij0#001754#002046,0,0,284-50-754-520,10.0,976,976,train
kdqUhTnAgJU#004528#004674,0,0,172-44-485-357,10.0,656,656,train
EZKDkSY1GBM#001801#001947,0,0,249-48-609-408,10.0,768,768,train
lmyZMtPVodo#003288#003455,0,0,164-2-483-321,10.0,544,544,train
5zWmdHmJMd0#013695#013828,0,0,142-40-726-624,10.0,1056,1056,train
6wNif5SlN08#012243#012391,0,0,180-39-530-389,10.0,672,672,train
yNhu0MG_2MA#015079#015207,0,0,267-68-696-498,10.0,992,992,train
HiwJ0hNl1Fw#019802#019950,0,0,195-47-530-382,10.0,704,704,train
ERSZb2wHFDw#009942#010154,0,0,245-38-683-475,10.0,896,896,train
yNhu0MG_2MA#015293#015483,0,0,285-59-748-522,10.0,992,992,train
QeIrdqU0o9s#009717#009869,0,0,216-6-586-376,10.0,656,656,train
LiUClSItcy0#002910#003194,0,0,117-33-442-358,10.0,624,624,train
yLfCCcVDUiU#011743#012036,0,0,194-37-554-396,10.0,688,688,train
Uq1idqpX9-A#003270#003404,0,0,164-25-514-375,10.0,608,608,train
8Z24LCysq3A#008681#008961,0,0,230-22-593-385,10.0,704,704,train
YUUP2MMz7PU#001605#001830,0,0,221-27-648-454,10.0,816,816,train
Jc9RdbHEFa0#011429#011585,0,0,154-39-498-383,10.0,688,688,train
949yOxz_x80#013333#013579,0,0,239-74-739-574,10.0,1056,1056,train
yNhu0MG_2MA#004164#004617,0,0,303-10-855-562,10.0,944,944,train
BzeTjn0R2VY#007387#007708,0,0,110-28-711-629,10.0,1024,1024,train
0gks6ceq4eQ#016612#016848,0,0,181-47-702-569,10.0,1008,1008,train
dkmpRQdJslI#008681#009033,0,0,79-13-503-436,10.0,720,720,train
LiUClSItcy0#006855#007128,0,0,87-12-443-368,10.0,624,624,train
DGvPfD1Dd1U#014815#015208,0,0,338-76-820-558,10.0,1056,1056,train
Ubbmje44gLg#011585#011723,0,0,144-43-532-431,10.0,752,752,train
g2m97gPI70I#016699#016891,0,0,121-31-458-368,10.0,656,656,train
Mr8nvXvl-y8#000719#000970,0,0,151-30-467-346,10.0,608,608,train
V1yW5IsnSjo#012145#012273,0,0,122-8-451-337,10.0,592,592,train
kmbui1xF8DE#017256#017534,0,0,284-45-793-553,10.0,992,992,train
RjquHTj4HlY#011734#012042,0,0,214-0-697-481,10.0,816,816,train
GIBoCJeB3HQ#003803#003962,0,0,151-48-526-424,10.0,752,752,train
BoRUrWcdkQ4#000589#000745,0,0,105-17-459-371,10.0,640,640,train
I3BJVaioX_k#022294#022546,0,0,321-44-861-584,10.0,1040,1040,train
UMhLBPPtlrY#023040#023306,0,0,125-13-480-368,10.0,656,656,train
idfv7Lw4Y_s#002452#002701,0,0,319-64-840-585,10.0,1056,1056,train
pxEcvU0Vp_M#014404#014610,0,0,163-40-490-366,10.0,688,688,train
YUUP2MMz7PU#017126#017263,0,0,200-53-621-474,10.0,848,848,train
cK74vhqzeeQ#018362#018592,0,0,181-37-514-369,10.0,672,672,train
aTfwA1TaH3Q#012919#013059,0,0,201-38-537-374,10.0,704,704,train
I3BJVaioX_k#000511#000641,0,0,212-34-703-526,10.0,976,976,train
-nKdufEaL8k#007202#007434,0,0,216-52-608-444,10.0,832,832,train
2wseM6wWd74#012014#012363,0,0,126-23-436-333,10.0,608,608,train
gypAjPp6eps#016669#016808,0,0,175-45-516-386,10.0,672,672,train
ClfBxWPkBKU#024118#024322,0,0,209-34-563-389,10.0,720,720,train
TLZ6W-Nqv1I#000314#000448,0,0,259-51-716-509,10.0,992,992,train
360bU-vBJOI#011030#011186,0,0,171-28-610-467,10.0,848,848,train
UMhLBPPtlrY#021859#022146,0,0,144-26-461-343,10.0,640,640,train
jAw8t2g-eVU#021784#022144,0,0,269-40-789-561,10.0,1040,1040,train
TLZ6W-Nqv1I#010376#010568,0,0,233-61-636-464,10.0,896,896,train
C74amJRp730#016824#017085,0,0,197-33-566-402,10.0,704,704,train
360bU-vBJOI#010853#011004,0,0,179-50-608-479,10.0,880,880,train
kmbui1xF8DE#008597#008782,0,0,206-44-703-541,10.0,960,960,train
bGUVQaBdxKw#014130#014499,0,0,296-29-783-516,10.0,976,976,train
B43f89Y9f-A#019659#019857,0,0,194-33-576-415,10.0,768,768,train
4CGFPbFqdJ4#013554#013882,0,0,303-35-810-542,10.0,976,976,train
bGUVQaBdxKw#002392#002628,0,0,273-31-694-452,10.0,848,848,train
BzeTjn0R2VY#016566#016817,0,0,184-32-684-532,10.0,976,976,train
kaU7IPlg9PA#004193#004337,0,0,251-52-678-479,10.0,880,880,train
d38LKbYfWrs#002610#002807,0,0,194-51-515-372,10.0,688,688,train
a63t8r70QN0#001613#002039,0,0,190-41-611-462,10.0,784,784,train
ONs9FCY74p0#003498#003629,0,0,261-59-701-499,10.0,928,928,train
zamvnyBB-SU#015610#015876,0,0,179-19-723-563,10.0,1008,1008,train
AEKy1AS75Zs#010278#010459,0,0,359-34-915-590,10.0,1072,1072,train
esD6aaIjhek#010109#010314,0,0,90-0-474-382,10.0,624,624,train
SF9qq6vQ3Pg#002546#002690,0,0,212-20-718-526,10.0,912,912,train
CZNrOzgNWf4#007008#007147,0,0,194-47-520-373,10.0,688,688,train
iFTWM7HV2UI#011447#012032,0,0,181-37-699-555,10.0,992,992,train
